timestamp,ACLineStatus,BatteryFlag,BatteryLifePercent,SystemStatusFlag,BatteryLifeTime,BatteryFullLifeTime
1611162788,0,2,28,0,2594,4294967295
1611162793,0,2,28,0,2594,4294967295
1611162798,0,2,28,0,2594,4294967295
1611162803,0,2,28,0,2594,4294967295
1611162808,0,2,28,0,2594,4294967295
1611162813,0,2,28,0,2594,4294967295
1611162818,0,2,28,0,2594,4294967295
1611162823,0,2,28,0,2594,4294967295
1611162828,0,2,28,0,2594,4294967295
1611162833,0,2,27,0,2540,4294967295
1611162838,0,2,27,0,2540,4294967295
1611162843,0,2,27,0,2540,4294967295
1611162848,0,2,27,0,2540,4294967295
1611162853,0,2,27,0,2540,4294967295
1611162858,0,2,27,0,2540,4294967295
1611162863,0,2,27,0,2540,4294967295
1611162868,0,2,27,0,2540,4294967295
1611162873,0,2,27,0,2540,4294967295
1611162878,0,2,27,0,2540,4294967295
1611162883,0,2,27,0,2540,4294967295
1611162888,0,2,27,0,2540,4294967295
1611162893,0,2,27,0,2540,4294967295
1611162898,0,2,27,0,2540,4294967295
1611162903,0,2,27,0,2540,4294967295
1611162908,0,2,27,0,2540,4294967295
1611162913,0,2,27,0,2540,4294967295
1611162918,0,2,26,0,2424,4294967295
1611162923,0,2,26,0,2424,4294967295
1611162928,0,2,26,0,2424,4294967295
1611162933,0,2,26,0,2424,4294967295
1611162938,0,2,26,0,2424,4294967295
1611162943,0,2,26,0,2424,4294967295
1611162948,0,2,26,0,2424,4294967295
1611162953,0,2,26,0,2424,4294967295
1611162958,0,2,26,0,2424,4294967295
1611162963,0,2,26,0,2424,4294967295
1611162968,0,2,26,0,2424,4294967295
1611162973,0,2,26,0,2424,4294967295
1611162978,0,2,26,0,2424,4294967295
1611162983,0,2,26,0,2424,4294967295
1611162988,0,2,26,0,2424,4294967295
1611162993,0,2,26,0,2424,4294967295
1611162998,0,2,26,0,2424,4294967295
1611163003,0,2,25,0,2224,4294967295
1611163008,0,2,25,0,2224,4294967295
1611163013,0,2,25,0,2367,4294967295
1611163018,0,2,25,0,2367,4294967295
1611163023,0,2,25,0,2367,4294967295
1611163028,0,2,25,0,2367,4294967295
1611163033,0,2,25,0,2367,4294967295
1611163038,0,2,25,0,2367,4294967295
1611163043,0,2,25,0,2283,4294967295
1611163048,0,2,25,0,2283,4294967295
1611163053,0,2,25,0,2283,4294967295
1611163058,0,2,25,0,2283,4294967295
1611163063,0,2,25,0,2283,4294967295
1611163068,0,2,25,0,2283,4294967295
1611163073,0,2,25,0,2283,4294967295
1611163078,0,2,25,0,2283,4294967295
1611163083,0,2,25,0,2283,4294967295
1611163088,0,2,25,0,2283,4294967295
1611163093,0,2,24,0,2238,4294967295
